PVI NO.,CHAINAGE,ELEVATION,LVC
POB,26736.988,120.939,0
PVI-001,26882.457,120.939,60
PVI-002,27093.871,123,60
PVI-003,27844.792,123,160
PVI-004,28140.912,124.54,110
PVI-005,28510.875,122.81,110
PVI-006,29211.75,122.81,235
PVI-007,29610.937,117.9,235
PVI-008,30944.298,117.9,240
PVI-009,31344.298,112.9,240
PVI-010,33224.243,112.9,300
PVI-011,33794.243,121.45,300
PVI-012,34312.17,121.45,350
PVI-013,34932.17,110.6,350
PVI-014,39069.874,110.6,160
PVI-015,39391.908,111.55,160
PVI-016,39801.908,111.55,160
PVI-017,40123.941,110.6,160
PVI-018,45854.874,110.6,160
PVI-019,46176.908,111.55,160
PVI-020,46586.908,111.55,160
PVI-021,46908.941,110.6,160
PVI-022,53049.793,110.6,160
PVI-023,53371.532,111.71,160
PVI-024,53802.17,111.71,160
PVI-025,54746.996,107.6,190
PVI-026,56320.465,107.6,275
PVI-027,56835.704,112.75,275
PVI-028,57803.161,112.75,160
PVI-029,58124.056,110.6,160
PVI-030,59287.44,110.6,160
PVI-031,59608.161,112.38,160
PVI-032,64686.681,112.38,150
PVI-033,65000.665,111.5,150
PVI-034,65611.191,111.5,160
PVI-035,65939.447,112.65,160
PVI-036,68110.961,112.65,160
PVI-037,68433.795,110.6,160
PVI-038,69295.19,110.6,160
PVI-039,69619,112.3,160
PVI-040,73479.729,112.3,160
PVI-041,74074.576,109.8,160
PVI-042,74937.744,109.8,190
PVI-043,76804.41,121,190
PVI-044,77368.41,121,340
PVI-045,77871.251,112.15,340
PVI-046,80334.047,112.15,160
PVI-047,80657.99,113.3,160
PVI-048,80985.714,113.3,160
PVI-049,81308.295,112.3,160
PVI-050,89084.886,112.3,160
PVI-051,89418.219,113.3,160
PVI-052,90294.56,113.3,160
PVI-053,90673.871,111.1,160
PVI-054,91467.601,111.1,180
PVI-055,91813.547,114.3,180
PVI-056,92144.981,114.3,160
PVI-057,92470.184,112.3,160
PVI-058,93364.409,112.3,160
PVI-059,93697.742,113.55,160
PVI-060,95433.269,113.55,160
PVI-061,95756.076,111.71,160
PVI-062,96244.012,111.71,280
PVI-063,97539.963,124.67,550
PVI-064,98204.414,118.025,280
PVI-065,99181.387,118.025,300
PVI-066,100395.89,133.935,300
PVI-067,100900.979,133.935,250
PVI-068,101504.023,127,250
PVI-069,102311.341,127,210
PVI-070,103592.387,136.8,210
PVI-071,103998.009,136.8,190
PVI-072,105737.925,143.5,190
PVI-073,106158.809,143.5,330
PVI-074,106689.39,134.825,330
PVI-075,110226.834,134.825,160
PVI-076,110556.834,137.3,160
PVI-077,110933.731,137.3,190
PVI-078,111880.139,132,190
PVI-079,112587.217,132,190
PVI-080,113382.295,126.8,190
PVI-081,114199.406,126.8,160
PVI-082,115490.5,123.07,160
PVI-083,115948.831,123.07,320
PVI-084,116593.286,133.6,320
PVI-085,117594.036,133.6,320
PVI-086,118319.036,122,320
PVI-087,120661.448,122,190
PVI-088,121502.162,127.885,190
PVI-089,122344.009,127.885,190
PVI-090,123118.323,123.936,190
PVI-091,123519.923,123.936,190
PVI-092,124154.089,128.6,160
PVI-093,125585.911,128.6,350
PVI-094,127508.847,150.8,140
PVI-095,128419.159,164,400
PVI-096,129307.706,164,220
PVI-097,130762.155,143.047,400
PVI-098,131319.874,156.99,180
PVI-099,132656.458,156.99,200
PVI-100,133453.558,161.374,490
PVI-101,134113.507,149,360
PVI-102,135751.836,149,225
PVI-103,136170.204,144.9,225
PVI-104,136547.747,144.9,160
PVI-105,136877.747,147.54,160
PVI-106,137557.346,147.54,220
PVI-107,138062.346,143.5,220
PVI-108,138926.076,143.5,290
PVI-109,139854.482,129.574,220
PVI-110,141054.861,124.461,290
PVI-111,141458.741,128.5,190
PVI-112,141907.084,128.5,380
PVI-113,142452.539,118,380
PVI-114,143130.755,118,160
PVI-115,143458.028,115.3,160
PVI-116,144350.561,115.3,160
PVI-117,145502.076,119.1,160
PVI-118,146166.076,119.1,410
PVI-119,147049.417,132,410
PVI-120,148203.612,132,160
PVI-121,149197.886,127.227,160
PVI-122,150050.128,120.58,220
PVI-123,154701.753,120.58,395
PVI-124,155731.253,141.17,395
PVI-125,158002.561,141.17,300
PVI-126,158584.195,130.795,340
PVI-127,159042.579,130.795,190
PVI-128,159717.922,127.789,190
PVI-129,161202.945,134.175,190
PVI-130,161782.938,134.175,210
PVI-131,162505.716,126.375,320
PVI-132,163471.944,131.303,275
PVI-133,166344.084,115.506,190
PVI-134,166725.061,115.506,190
PVI-135,167364.906,119.4,160
PVI-136,168126.103,119.4,220
PVI-137,168835.27,125,190
PVI-138,169260.27,125,340
PVI-139,170001.011,116,315
PVI-140,171309.091,116,375
PVI-141,172689.991,134.642,520
PVI-142,173920.018,128,410
PVI-143,175550.923,142.92,360
PVI-144,175979.128,141.25,170
PVI-145,176750.433,142.985,190
PVI-146,178976.227,158,190
PVI-147,181750.973,158,190
PVI-148,182515.613,161.825,400
PVI-149,183902.202,149,260
POE,184899.174,149,0
